idx,question,answer,correctness,explanation
131,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,1,"Pirate's Cove was published in 2002, while Catan (originally The Settlers of Catan) was published in 1995. Therefore, Pirate's Cove was published more recently."
104,"Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?",Leo Varadkar,1,"Leo Varadkar became the leader of Fine Gael on 2 June 2017 and has served as Taoiseach and Minister for Defence, making the answer correct."
130,"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",LaLee's Kin: The Legacy of Cotton,1,"'Lalee's Kin: The Legacy of Cotton' was nominated for the Academy Award for Best Documentary Feature, while 'Gimme Shelter' was not nominated for an Oscar."
136,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",Texas Tech University,1,"The 1974 Texas Tech Raiders football team represented Texas Tech University, which is a public research university located in Lubbock, Texas."
132,Alice David is the voice of Lara Croft in a video game developed by which company ?,Crystal Dynamics,1,Crystal Dynamics is the developer of the Tomb Raider video games in which Alice David voiced Lara Croft (specifically the French version).
133,"Which Eminem album included vocals from a singer who had an album titled ""Unapologetic""?","""The Marshall Mathers LP 2""",1,"'Unapologetic' is an album by Rihanna, who provided vocals on 'The Monster' from Eminem's 'The Marshall Mathers LP 2' album."
139,"What year was the film that starred the composer for ""The Naked Brothers Band""?",2014,0,"The film 'The Naked Brothers Band' starred Nat Wolff, who is also the composer for the band's music. The movie was released in 2005, not 2014."
140,The author of Sexual Politics attended which British University?,Oxford,1,"Kate Millett, the author of 'Sexual Politics', attended Oxford University as a postgraduate student."
138,For what type of work is the production company for The Year Without a Santa Claus best known?,"seasonal television specials, particularly its work in stop motion animation",1,"The production company for 'The Year Without a Santa Claus' (Rankin/Bass Productions) is best known for its seasonal television specials, especially those using stop motion animation. The answer accurately reflects this."
145,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne,1,"Erika Jayne was born on July 10, 1971, while Marco da Silva was born on May 30, 1977. Therefore, Erika Jayne was born first."
147,What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Kingdom of the Isles,1,"The Kingdom of the Isles was ruled by Aonghus Mór and covered a total land area of over 8,300 km², making the answer correct."
135,SuperMansion starred the actress who had a recurring role as whom on Workaholics?,Jillian Belk,1,"Jillian Belk is the character played by Jillian Bell on Workaholics, and Jillian Bell also starred in SuperMansion. The answer correctly identifies the recurring role."
141,"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,1,"Roberta Vinci achieved a career-high singles ranking of world No. 7, while Jorge Lozano's highest singles ranking was No. 51. Therefore, Roberta Vinci had the better singles ranking."
144,The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,Nebo Zovyot,1,'Nebo Zovyot' (also known as 'The Heavens Call') is the correct 1959 Soviet feature film from which scenes were used in both 'Queen of Blood' and 'Battle Beyond the Sun.'
151,"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",1901,1,"The American League was established in 1901, and the Baltimore Orioles are one of its original eight charter franchises. The answer is correct."
150,What occupation was shared by David Yates and Pietro Germi?,director,1,"Both David Yates and Pietro Germi were film directors, so 'director' is a correct answer."
148,"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",The Beatles,1,"Bruce Spizer is a recognized expert on The Beatles, who are widely regarded as the most influential act of the rock era. The answer is correct."
143,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,1,"The answer correctly identifies Ian Watkins as the musician whose incarceration impacted his career with his rock band, Lostprophets, which disbanded after he was charged with sexual offences."
149,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",1,"'Burn That Bridge' was the third single from Alan Jackson's album 'A Lot About Livin' (And a Little 'bout Love)', and it spent two weeks on the country charts. The answer is correct."
155,Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,Brazil,1,"Algeria qualified for the Round of 16 for the first time at the 2014 FIFA World Cup, which was hosted by Brazil."
152,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp,1,"The Argand lamp, patented by Aimé Argand in 1780, is indeed the type of lamp that was used in many lighthouses. The answer correctly identifies the lamp."
153,"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",seven,1,"The songs from the 'When Harry Met Sally...' soundtrack are performed by Harry Connick Jr., who has had seven top 20 US albums according to Billboard charts."
156,"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",The Seven Days Battles,1,"The Seven Days Battles were fought in 1862 during the American Civil War, while the Battle of Manila occurred in 1898 during the Spanish-American War. Therefore, the Seven Days Battles were fought earlier."
154,Are Broughtonia and Laeliocattleya both orchids?,yes,1,"Both Broughtonia and Laeliocattleya are genera of orchids. Broughtonia is a genus of orchids, and Laeliocattleya is a nothogenus (hybrid genus) of orchids, so the answer is correct."
134,"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film? ",Suicide Squad,1,"The director and writer of 'Street Kings', 'End of Watch', 'Sabotage', and 'Fury' is David Ayer, who also wrote and directed 'Suicide Squad'. The answer is correct."
137,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Lord Combermere,1,"Lord Combermere was the Commander-in-Chief in India during the Siege of Bharatpur in 1825-26 and led the successful storming of the fortress. There is no significant connection to a Commander-in-Chief of Ireland in this context, but Lord Combermere is the correct answer for the Commander-in-Chief who contributed to the storming of the castle."
162,What major city is the Faith Lutheran Middle School and High School located by?,Las Vegas,1,"Faith Lutheran Middle School and High School is located in Las Vegas, Nevada. The answer is correct."
158,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,1,"Manchester United's stadium, Old Trafford, is located in the area between Old Trafford (Trafford Bar) and the Old Tool Gates Brook Bar area in Greater Manchester. The answer is correct."
142,Both Truth in Science and Discovery embrace what campaign?,"""Teach the Controversy"" campaign",0,"The 'teach the controversy' campaign is a slogan used by proponents of intelligent design and creationism to promote the teaching of alternatives to evolution in science classes. It is not a campaign that is embraced by the concepts of truth in science and discovery, which are based on scientific consensus and evidence-based inquiry. Therefore, the answer is incorrect."
146,"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",2009,0,"The question refers to the Reading local newspaper, the Reading Evening Post, which changed its name to the Reading Post in 2009. However, the answer does not specify the newspaper's name, and the connection to Forbury Gardens is not made clear. The answer '2009' is only correct if the question is about the Reading Evening Post's name change, but the question is ambiguous. Therefore, the answer lacks sufficient context and clarity."
159,"The song ""Chim Chim Cher-ee"" can be heard  in the ""Mary Poppins"" scene of a Disney ride that debuted in what year?",1989,1,"The Disney ride 'Mary Poppins' scene featuring 'Chim Chim Cheree' is part of the 'The Great Movie Ride,' which debuted at Disney's Hollywood Studios in 1989."
167,Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,1,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas."
157,"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",Lush Ltd.,1,"Lush Ltd is a retailer headquartered in Poole, Dorset, United Kingdom, and has a store in ABQ Uptown. The answer is correct."
164,Who did the Star and Dagger bass player marry?,Sean Yseult.,0,"Sean Yseult is the bass player for Star & Dagger, but the question asks whom she married. Sean Yseult was married to Chris Lee, not herself."
127,When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,1,"The palace where Columba de Dunbar died in 1435 is likely Dunbar Castle or Palace, which was originally founded in the late 12th century. The answer correctly identifies the founding period."
160,"Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?",Kathryn Jean Martin,0,"Kathryn Jean Martin is not the correct answer. The record for longest service in the Australian parliament for a woman was held by Kathy Sullivan, and she was surpassed by Anna Burke, who was the 29th Speaker of the House of Representatives."
174,"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",City of Newcastle,1,"The City of Newcastle is a local government area in the Hunter Region of New South Wales, Australia, and it is located south of Shelly Beach, NSW."
178,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant,1,"Alistair Grant was born on 6 March 1937 and was a British citizen, making the answer correct."
179,"What country does Hatton Hill and Hatton Castle, Angus have in common?",Scotland,1,"Both Hatton Hill and Hatton Castle (Angus) are located in Scotland, so the answer is correct."
170,"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",C. W. Grafton,1,"C. W. Grafton is the father of Sue Grafton, who is the author of 'Q is for Quarry.' C. W. Grafton was a detective novelist."
173,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",Pasek & Paul,1,"Benj Pasek and Justin Paul, known as Pasek and Paul, are the songwriting duo who composed music for 'La La Land' and wrote lyrics for 'A Christmas Story: The Musical.'"
169,This Celtic ruler who was born in AD 43 ruled southeastern Britain prior to conquest by which empire?,Roman,1,"The question asks which empire conquered southeastern Britain after being ruled by a Celtic ruler born in AD 43. The correct answer is 'Roman,' as the Romans conquered Britain in the 1st century AD."
172,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982",1,"The Memphis Hustle are based in Southaven, Mississippi, which had a population of 48,982 in the 2010 census. The answer is correct."
166,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,1,"The movie 'Dinosaur' was released in 2000, while 'McFarland, USA' was released in 2015. Therefore, 'Dinosaur' came out first."
163,What British singer-songwriter hosted the 16th Annual Young Hollywood Awards?,Kelly Lee Osbourne,0,"The 16th Annual Young Hollywood Awards in 2014 was hosted by Kelly Osbourne, not 'Kelly Lee Osbourne.' Kelly Osbourne is a British singer, actress, and television personality, but her full name is Kelly Michelle Lee Osbourne. The answer is partially correct in identifying Kelly Osbourne, but the name given is not the commonly used or correct one."
165,"In 2017, what was 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services, spent on?",Prescription Drug User Fee Act,1,"The question refers to the FDA (the 34th organization in a list, which has a Center for Veterinary Medicine and is part of the US Department of Health and Human Services). In 2017, the FDA spent funds from the Prescription Drug User Fee Act (PDUFA), which is correct as PDUFA funds are used by the FDA for drug review activities."
175,Are Bamboo Mañalac and Danny Jones both musicians?,yes,1,"Bamboo Mañalac is a Filipino musician and Danny Jones is a British musician, both known for their work in music."
171,What is the birthplace of the Senator who represents the first of 62 districts in the State Senate?,"Brooklyn, New York",1,"The senator representing the 1st district of the New York State Senate is Anthony Palumbo, who was born in Brooklyn, New York. Therefore, the answer is correct."
176,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",drawings,1,"The Ateneum Art Museum in Finland houses a collection of approximately 65,000 drawings, and works by Hanna-Leena Kristiina Varis are part of this collection. Therefore, 'drawings' is a correct answer."
180,What podcast was the cheif executive officer of Nerdist Industries a guest on?,Comedy Film Nerds,1,"Chris Hardwick, the chief executive officer of Nerdist Industries, was a guest on the 'Comedy Film Nerds' podcast. The answer is correct."
177,When was the Western Germanic language spoken from which the small settlement situated on the river Leda opposite Leer derives its name?,between the 8th and 16th centuries,1,"The Western Germanic languages were spoken from around the 8th to the 16th centuries, which aligns with the period when many settlements in that region would have derived their names from the language."
181,Randall Cunningham II was a multi-sport athlete at the high school located in what Nevada city?,Summerlin,0,"Summerlin is a community within Las Vegas, not a city itself. The correct answer is Las Vegas, Nevada."
182,"Which English musician is known for both the songs ""See Yourself"" and ""Withing You Without You""?",George Harrison,1,George Harrison is the English musician known for both 'See Yourself' and 'Within You Without You.' He wrote and performed both songs.
168,What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,United States presidential election of 2016,1,"The 58th quadrennial American presidential election refers to the United States presidential election of 2016, which was held after the 2016 Michigan Democratic primary."
190,Joe Walker played for which team that ends their regular season with the Civil War rivalry game?,Oregon Ducks football,1,"Joe Walker played for the Oregon Ducks football team, which ends their regular season with the Civil War rivalry game against Oregon State."
183,"Which professional ice hockey position does the Captain of the National Hockey League All-Star Game ""Away Team"" play?",Canadian professional ice hockey centre,0,The captain of the NHL All-Star Game away team can play any position and is not always a Canadian professional ice hockey centre. The position and nationality of the captain vary each year depending on the selected players.
189,Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,1943,1,"Tefik Selim Mborja was associated with the Albanian Fascist Party, which held power in Albania until 1943, when Italy capitulated and German forces took over. Therefore, the answer is correct."
194,What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?,severe acute respiratory syndrome,1,"The full name of the viral respiratory disease is 'severe acute respiratory syndrome,' commonly abbreviated as SARS. Yi Guan's research was instrumental in preventing its outbreak."
192,Georges-Henri Bousquet translated the work of a historian who is of what heritage?,North African Arab,1,"Georges-Henri Bousquet translated the work of Ibn Khaldun, who was a North African Arab historian. The answer correctly identifies the heritage."
195,Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Wendell Berry,1,"Wendell Berry, a Kentucky Writers Hall of Fame author, has had works published by Dim Gray Bar Press, including 'The Farm' and 'Window Poems.'"
193,In which city are the headquarters of the American research and scientific development company where Ravi Sethi worked as computer scientist located?,Murray Hill,1,"Ravi Sethi worked at Bell Labs, which is an American research and scientific development company headquartered in Murray Hill, New Jersey."
191,"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",National Broadcasting Company,1,"The series created by Max Mutchnick and David Kohan is 'Will & Grace,' which aired on the National Broadcasting Company (NBC). Therefore, the answer is correct."
187,"Which travel parody series featured American actor, comedian, and radio host best known as the host of ""The Joe Schmo Show""?",Hidden America with Jonah Ray,0,"'Hidden America with Jonah Ray' is a travel parody series, but Jonah Ray is not best known as the host of 'The Joe Schmo Show.' The host of 'The Joe Schmo Show' is Ralph Garman. Therefore, the answer is incorrect."
186,"Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series ""Dexter""?",Mark Neveldine and Brian Taylor,1,"The 2009 American science fiction film starring Michael C. Hall (who played Dexter Morgan in 'Dexter') is 'Gamer', which was directed by Mark Neveldine and Brian Taylor. The answer is correct."
197, Robert Smith founded the multinational company headquartered in what city?,"Golden Valley, Minnesota,",0,"Robert Smith is known for founding Vista Equity Partners, which is headquartered in Austin, Texas, not Golden Valley, Minnesota. Golden Valley is the headquarters of General Mills, not a company founded by Robert Smith."
200,The 2000 British film Snatch was later adapted into a television series for what streaming service?,Crackle,1,The television series adaptation of 'Snatch' was produced for the streaming service Crackle.
184,"What year did the series on CBS, starring the actor who known for his role in ""Rebel Without a Cause,"" air?",1952,0,"The actor known for his role in 'Rebel Without a Cause' is James Dean. The CBS series starring James Dean, 'East of Eden,' aired in 1955. There is no record of a CBS series starring James Dean airing in 1952."
185,"What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to """", which aired from 2005 to 2008? ",third,1,"The question refers to 'The Legend of Korra', the sequel to 'Avatar: The Last Airbender'. The main antagonist of Book 4, Kuvira, was introduced in Book 3 (the third season). Therefore, 'third' is the correct answer."
196,What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?,Tinu Suresh Desai,1,"Tinu Suresh Desai co-directed the film '1920: Evil Returns' with Vikram Bhatt, which starred Rajneesh Duggal and Adah Sharma."
198,What amount was the settlement that the character from the Son of al Quada got in 2017?,$10.5 million,1,"The character from 'Son of al Qaeda', Abdurahman Khadr, was reportedly awarded a $105 million settlement in 2017. The answer matches the reported amount."
188,Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,no,0,"'The Importance of Being Icelandic' is a documentary, while 'The Five Obstructions' is also a documentary, but it is more experimental and meta-cinematic. However, both are generally classified under the documentary genre, so the answer 'no' is partially correct. But if considering sub-genres or styles, they could be seen as different. The answer lacks nuance, so a score of 0 is appropriate."
201,Chris Williams last played for which football club from the National League North?,Salford City Football Club,0,"Chris Williams last played for Barrow in the National League North, not Salford City. Salford City was not his last club in that league."
205,Onika Tanya Maraj is a judge on a television show hosted by whom? ,Ryan Seacrest,1,"Onika Tanya Maraj, known as Nicki Minaj, was a judge on American Idol, which was hosted by Ryan Seacrest."
210,Who was the captain of the only battleship to provide gunfire support during the Vietnam War?,Rear Adm. J. Edward Snyder,1,"Rear Admiral J. Edward Snyder was the captain of the USS New Jersey (BB-62), the only battleship to provide gunfire support during the Vietnam War."
211,"The Polar Bears featuring the voice of Armie Hammer, is also the same voice actor for which character in Cars 3?",Jackson Storm,1,"Armie Hammer is the voice actor for Jackson Storm in Cars 3, so the answer is correct."
206,Are Hot Rod and The Memory of Our People both magazines?,yes,0,"'Hot Rod' is a magazine, but 'Memory of Our People' is not a magazine; it is not known as a periodical publication. Therefore, the answer is incorrect."
209,Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,Gal Gadot,1,"Gal Gadot, who plays Wonder Woman, is an actress in the DC Extended Universe and was intended to reprise her role in the fifth installment, 'Wonder Woman 1984.'"
199,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone,0,"The 1999 Odisha cyclone was a very strong and deadly cyclone, but the strongest recorded tropical cyclone is generally considered to be Typhoon Tip (1979) or Hurricane Patricia (2015) depending on the metric. Additionally, the 2007 film 'Cyclone' is about Cyclone Sidr, not the 1999 Odisha cyclone. Therefore, the answer is incorrect."
213,"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",right-hand,1,"The Pakistan fast bowler who joined Kent in June 2011 was Wahab Riaz, who is a right-handed batsman."
214,"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Ignatius Conan Doyle,1,Arthur Conan Doyle was born before Penelope Lively. The answer correctly identifies Arthur Conan Doyle as the one who was born first.
207,Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Colonel Charles Hastings Judd,1,"Colonel Charles Hastings Judd served as Chamberlain and Colonel of the Military Staff to King Kalākaua, who was known as the Merrie Monarch."
208,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,1,"Pavel Sergeyevich Alexandrov was a prolific mathematician who authored more than 300 papers, whereas Semyon Aranovich Gershgorin published far fewer. The answer is correct."
204,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,1,"Kevin Spacey is the lead actor in the film 'American Beauty.' The question seems to repeat the same movie title, so the answer is correct as Kevin Spacey is the actor associated with 'American Beauty.'"
212,"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",712 5th Avenue,1,"712 Fifth Avenue is taller than the Manhattan Life Insurance Building. 712 Fifth Avenue is 649 feet (198 m) tall, while the Manhattan Life Insurance Building is 348 feet (106 m) tall."
216,Ernest Foot was the best friend of the fighter pilot who had how many victories?,44,1,"Ernest Foot was the best friend of fighter pilot James McCudden, who had 44 aerial victories during World War I."
203,"At the 71st Golden Globe Awards for television in 2013, what achievement did Breaking Bad, police sitcom Brooklyn Nine-Nine and American Hustle attain?",multiple awards,1,"All three—Breaking Bad, Brooklyn Nine-Nine, and American Hustle—won multiple awards at the 71st Golden Globe Awards in 2014 (for 2013 works). Breaking Bad won Best Drama Series and Best Actor (Bryan Cranston), Brooklyn Nine-Nine won Best Comedy Series and Best Actor (Andy Samberg), and American Hustle won Best Motion Picture – Musical or Comedy and acting awards."
215,The Tennessee Volunteers football team plays as a member for a conference in what city?,"Birmingham, Alabama",0,"The Tennessee Volunteers football team plays as a member of the Southeastern Conference (SEC), which is headquartered in Birmingham, Alabama. However, the question asks about the city where the team plays, which is Knoxville, Tennessee, not Birmingham, Alabama."
218,Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Erinsborough,1,"The soap opera 'Neighbours', which features the character Beverly Marshall, is set in the fictional suburb of Erinsborough."
219,Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Samoa,0,"The Falkland Islands beat Saint Helena in the 2010 Commonwealth Games, not Samoa. Additionally, Samoa does not have eleven administrative divisions."
202,Who designed the hotel that held the IFBB professional bodybuilding competition in September 1991?,architect Michael Graves,0,"There is no evidence that architect Michael Graves designed the hotel that hosted the IFBB professional bodybuilding competition in September 1991. The 1991 Mr. Olympia was held at the Walt Disney World Dolphin Hotel, which was designed by Michael Graves, but the answer does not specify the hotel or event, making it incomplete and potentially misleading."
217,"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire,0,"The correct answer is the Sasanian Empire, not the Parthian Empire. Farrukhzad Khosrau V was briefly a ruler during the final years of the Sasanian Empire, which succeeded the Parthian Empire centuries earlier."
222,Are both Dafeng District and Dazhou located in the same province?,no,1,"Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province. Therefore, they are not located in the same province."
226,The author of The Thing of It Is... is what Nationality?,American,1,"The author of 'thing of it is' is David Foster Wallace, who was American."
228,"Martin Patterson ""Pat"" Hingle was a close friend of an actor who achieved success in what Western TV series? ",Rawhide,1,"Pat Hingle was a close friend of Clint Eastwood, who achieved success in the western TV series 'Rawhide.' Therefore, the answer is correct."
221,"Which television series featured an actor who also performed in ""The Young Ones""?","""The Comic Strip Presents...""",1,"'Comic Strip Presents' featured several actors who also performed in 'The Young Ones', such as Rik Mayall, Adrian Edmondson, and Nigel Planer. Therefore, the answer is correct."
224,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake,1,"'Awake' is a film written and directed by Joby Harold, with music composed by Samuel Sim. The answer is correct."
230,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,Mark Masons' Hall,0,"The ceremonial meeting place of the Accession Council in the United Kingdom is St James's Palace. The building opposite St James's Palace is Lancaster House, not Mark Masons' Hall. Therefore, the answer is incorrect."
231,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,1,"Starlite is a material invented by Maurice Ward, a hairdresser from Yorkshire, England, and it was named by his granddaughter."
234,What is the nickname of the city where Darling's Waterfront Pavilion is located?,"""Queen City""",1,"The Darlings Waterfront Pavilion is located in Bangor, Maine, which is nicknamed 'Queen City.'"
229,Is the Marsilea or the Brabejum the genus of more individual species of plants?,Marsilea,1,"Marsilea is a genus with around 65-70 species, while Brabejum is a monotypic genus with only one species. Therefore, Marsilea has more individual species."
235,The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,1,The Kansas City Wizards (now Sporting Kansas City) played their first home games at Arrowhead Stadium when the team was founded in 1996. This is correct.
227,"How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?",8 km,1,"The bridge section of the Øresund Bridge is approximately 8 km long, which is correct. The total length of the entire fixed link (including the tunnel and artificial island) is about 16 km, but the bridge itself is 8 km."
232,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,1,The answer 'hong kong' is correct because the building that succeeded One Raffles Place as the tallest building outside North America is located in Hong Kong (the Bank of China Tower).
225,What is the name of the ethnic group who settled in Canada in the 17th century that participated in a conflict with Irish Catholic immigrants in the Shiners' War?,French Canadians,1,"French Canadians were the established ethnic group in Canada in the 17th century and were involved in the Shiners' War, which was a conflict with Irish Catholic immigrants in the Ottawa area in the 1830s."
233,"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig v. Boren,0,"The answer is incorrect. United States v. Paramount Pictures, Inc. was decided in 1948, while Craig v. Boren was decided in 1976. Therefore, United States v. Paramount Pictures, Inc. came first."
236,"Henry Hall is known for fighting in the Revolutionary War, and for being the first to successfully cultivate this food found in what type of bogs?",acidic,1,"The answer 'acidic' is correct because cranberries, the food in question, are cultivated in acidic bogs. Henry Hall is credited with being the first to successfully cultivate cranberries, which grow in acidic bogs."
220,"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?","Kimberly Couger ""Kimmy"" Schmidt",1,"The answer correctly identifies the character as Kimmy Schmidt, played by Ellie Kemper (Elizabeth Claire Kemper) in the Netflix series 'Unbreakable Kimmy Schmidt.' The full name is Kimberly Cougar Schmidt, often called Kimmy Schmidt."
223,"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",nineteenth,1,"The primary leader referenced is Tecumseh, whose brother Tenskwatawa was known as the Prophet. Tecumseh became the leader of a large multi-tribal confederacy in the early 19th century, specifically in the early 1800s, leading up to the Battle of Tippecanoe in 1811."
238,"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",Logan International Airport,1,"Logan International Airport (BOS) in Boston is the largest airport in New England, is serviced by the American Airlines Shuttle, and is among the busiest airports in the US, ranking around 17th by passenger traffic."
237,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance,1,The answer is correct. The movie 'Compliance' is based on real-life incidents where a man called fast food restaurants pretending to be a police officer and convinced managers to strip search employees.
239,"Which genus has more species, Xanthoceras or Ehretia?",Ehretia,1,"Ehretia is a genus with significantly more species than Xanthoceras, which is monotypic (only one species). Therefore, the answer is correct."
246,"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",25 laps,1,"A standard 10,000 metres race on a 400-metre track consists of 25 laps (10,000 / 400 = 25). Therefore, the answer is correct."
250,In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey",1,"Both the Nusretiye Clock Tower and the Eski Imaret Mosque are located in Istanbul, Turkey."
240,What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,a pinball machine,0,The answer 'pinball machine' is incorrect. The question asks for an arcade game named after a specific Major League Baseball player with a .300 batting average for 7 consecutive seasons. 'Pinball machine' is a general term and not the name of a specific arcade game or player.
245,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,1,"Brad Silberling directed 'Lemony Snicket's A Series of Unfortunate Events,' in which Jamie Harris played the Hook-Handed Man. The answer is correct."
247,Are  Chrysalis and Look both women's magazines?,yes,0,"'Chrysalis' is a women's magazine, but 'Look' was a general interest magazine and not specifically a women's magazine."
243,Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,1,"Thomas Mawson was a renowned landscape architect who designed the Salisbury Woodland Gardens, linking the zoo with the park. The answer is correct."
242,Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,"Reginald Martinez ""Reggie"" Jackson",1,"Reggie Jackson, whose full name is Reginald Martinez Jackson, was inducted into the National Baseball Hall of Fame in 1993 and is featured in the Greatest Sports Legends anthology. The answer is correct."
249,"Yoann Lemoine, a French video director, has created music videos for Lana Del Rey, Katy Perry, and an orchestral country pop ballad by which top pop artist?",Taylor Swift,1,"Yoann Lemoine, also known as Woodkid, directed the music video for Taylor Swift's 'Back to December,' which is an orchestral country pop ballad. Therefore, the answer is correct."
241,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Donna Paige Helmintoller,0,"The correct answer is Paige O'Hara, who was born in 1956 and voiced Belle in Disney's 'Beauty and the Beast,' singing 'Something There.' Donna Paige Helmintoller is not the correct person."
