idx,question,answer,correctness,explanation
15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",0,"The answer '9984' does not specify the country or its population clearly, and it is unlikely to be the population of a country. Brown State Fishing Lake is located in the United States, which has a population in the hundreds of millions, so the answer is incorrect."
169,This Celtic ruler who was born in AD 43 ruled southeastern Britain prior to conquest by which empire?,Roman,1,"The Celtic ruler born in AD 43 who ruled southeastern Britain did so prior to the Roman conquest, so the empire in question is indeed the Roman Empire."
93,Do the drinks Gibson and Zurracapote both contain gin?,no,1,"Gibson is a cocktail made with gin, vermouth, and a pickled onion, so it contains gin. Zurracapote is a Spanish drink made from red wine, fruit, sugar, and spices, and does not contain gin. Therefore, the answer 'no' correctly indicates that both drinks do not contain gin."
200,The 2000 British film Snatch was later adapted into a television series for what streaming service?,Crackle,1,The 2000 British film 'Snatch' was indeed adapted into a television series that was released on the streaming service Crackle.
27,"Are both Dictyosperma, and Huernia described as a genus?",yes,1,Both Dictyosperma and Huernia are indeed described as genera in botanical classification.
50,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,1,"The 2009 season was the 14th season of the Big 12 Conference as part of NCAA Division I, and the Colorado Buffaloes played in the Big 12 Conference that year with a conference record of 2-6, which aligns with the given information."
146,"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",2009,0,"The answer '2009' does not specify the name of the newspaper or confirm that it changed its name in that year. Without additional context or verification, the answer is incomplete and cannot be confirmed as correct."
78,What nationality were social anthropologists Alfred Gell and Edmund Leach?,British,1,Both Alfred Gell and Edmund Leach were British social anthropologists.
144,The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,Nebo Zovyot,1,Both 'Queen of Blood' and 'Battle Beyond the Sun' incorporated footage from the 1959 Soviet science fiction film 'Nebo zovyot' (The Sky Calls).
36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,1,"Carlo Rovelli, the Italian physicist who wrote 'Seven Brief Lessons on Physics,' has been working in France since the year 2000."
172,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982",1,"The Memphis Hustle are based in Southaven, Mississippi, which is a suburb of Memphis. According to the 2010 U.S. Census, Southaven had a population of approximately 48,982, making the answer correct."
136,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",Texas Tech University,1,"The 1974 Texas Tech Raiders football team represented Texas Tech University, which is a public research university located in Lubbock, Texas."
45,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,1,"Dirleton Castle is a medieval fortress located in Dirleton, East Lothian, Scotland, and it borders on the south side of the Yellowcraig coastal area."
171,What is the birthplace of the Senator who represents the first of 62 districts in the State Senate?,"Brooklyn, New York",0,"The answer 'Brooklyn, New York' does not specify which state or senator is being referred to, and without additional context, it cannot be confirmed as correct for the senator representing the first of 62 districts in a state senate."
22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,0,"The Apple Remote was originally designed to interact with devices like the Apple TV and certain Mac computers for media control, not keyboard function keys. Keyboard function keys are part of a keyboard, not a device controlled by the Apple Remote."
195,Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Wendell Berry,1,Wendell Berry is a Kentucky Writers Hall of Fame author and has had works published by Dim Gray Bar Press.
109,"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",B-17 Flying Fortress bomber,0,"The answer does not address the question correctly. The question asks about the airplane after which the base that the 514th Flight Test Squadron is stationed is named, not about the airplane the squadron was test flying. The 514th Flight Test Squadron is based at Hill Air Force Base, which is named after Major Ployer Peter Hill, not after an airplane like the B-17 Flying Fortress."
174,"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",City of Newcastle,1,"The City of Newcastle is located south of Shelly Beach in New South Wales and is a local government area within the Hunter Region of New South Wales, Australia."
127,When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,1,"The Palace of Dunbar, associated with Columba de Dunbar who died in 1435, was indeed founded in the late 12th century, making the answer correct."
31,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",1,"Buck-Tick is a Japanese rock band that originated from Fujioka, Gunma Prefecture, Japan, so the answer correctly identifies their place of origin."
113,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud,1,"George Archainbaud died in 1959, while Ralph Murphy died in 1967, so George Archainbaud died first."
131,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,0,"Pirates Cove was published in 2002, while Catan was originally published in 1995, so Pirates Cove is the more recent publication. However, the answer 'pirates cove' is correct, so the correctness should be 1."
190,Joe Walker played for which team that ends their regular season with the Civil War rivalry game?,Oregon Ducks football,1,"Joe Walker played for the Oregon Ducks football team, which ends their regular season with the Civil War rivalry game against Oregon State."
57,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,1,"Keith Bostic was born in 1961, and Jerry Glanville was born in 1941, so Keith Bostic is younger than Jerry Glanville."
123,Maxeda has been owned since 2004 by which American multinational equity firm?,KKR & Co,1,KKR & Co. is the American multinational equity firm that has owned Maxeda since 2004.
98,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,1,"The ambassador of Rabat-Salé-Kénitra administrative region to China would be based in Beijing, as it is the capital city of China where foreign embassies are located."
102,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,0,"The answer '2003' does not specify which player or brother is being referred to, and without additional context, it cannot be verified as correct. The question is ambiguous and the answer lacks necessary detail to confirm correctness."
173,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",Pasek & Paul,1,Pasek and Paul are the songwriting duo who composed the music for La La Land and wrote the lyrics for the musical adaptation of A Christmas Story.
3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,0,"Laleli Mosque and Esma Sultan Mansion are both located in the same general area of Istanbul, specifically in the Beyoğlu district, so the answer 'no' is incorrect."
170,"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",C. W. Grafton,1,"C. W. Grafton is the detective novelist and the parent of Sue Grafton, the author of 'Q is for Quarry.'"
97,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz,0,"The answer contains a misspelling of Lev Yilmaz's name as 'levni yilmaz'. Additionally, Lev Yilmaz is known for animation, whereas Pamela B Green is not primarily known for animation. Despite the misspelling, the intended answer is Lev Yilmaz, who is the correct filmmaker known for animation."
40,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,0,"The Scotch Collie is not an ancestor of Gordon and Irish Setters; these setters are distinct breeds with different origins. The Manchester Terrier is also unrelated. Therefore, the answer 'scotch collie' is incorrect."
107,What type of activity does Owner earnings and Warren Buffett have in common?,business,1,"Both owner earnings and Warren Buffett are associated with business activities; owner earnings is a financial metric used in business valuation, and Warren Buffett is a renowned business investor."
143,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,1,"Ian Watkins, the lead singer of Lostprophets, was incarcerated due to sexual offences, which led to the band's disbandment in 2013, directly impacting his career. This answer correctly identifies the musician and the consequences on his career."
194,What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?,severe acute respiratory syndrome,1,"The answer correctly identifies the full name of the viral respiratory disease as Severe Acute Respiratory Syndrome (SARS), which aligns with Yi Guan's research contributions in preventing its outbreak."
103,Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? ,North Avenue at Techwood Drive,1,"The 1964 Georgia Tech Yellow Jackets football team played their home games at Grant Field, which is located at North Avenue and Techwood Drive in Atlanta, Georgia."
81,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger,1,"The rock singer Robert C. Seger is widely known by his stage name Bob Seger, making the answer correct."
75,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,1,"John John Florence, an American professional surfer born on October 18, 1992, won the Rip Curl Pro Portugal event."
118,Were the bands Skin Yard and Ostava from the U.S.?,no,0,"Skin Yard is an American band, so the answer 'no' is incorrect for Skin Yard. Ostava is a Bulgarian band, so 'no' is correct for Ostava. Since the answer does not distinguish between the two and is incorrect for Skin Yard, the overall answer is incorrect."
19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,1,"Robert Erskine Childers was an English-born writer, whereas Henry Roth was American. Therefore, the answer correctly identifies the writer from England."
180,What podcast was the cheif executive officer of Nerdist Industries a guest on?,Comedy Film Nerds,0,"The answer 'comedy film nerds' does not correctly identify a known podcast on which the Chief Executive Officer of Nerdist Industries was a guest. The Nerdist CEO has appeared on the 'Nerdist Podcast,' which is the company's own podcast, but 'comedy film nerds' is not a recognized podcast related to this context."
179,"What country does Hatton Hill and Hatton Castle, Angus have in common?",Scotland,1,"Both Hatton Hill and Hatton Castle are located in Angus, which is a council area in Scotland, so the answer 'Scotland' is correct."
7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",1,"The Lewiston Maineiacs played their home games at the Androscoggin Bank Colisée, which has a seating capacity of approximately 3,677 for hockey games, matching the provided answer."
92,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,1,"Bill Cosby's third album, 'Bill Cosby Is a Very Funny Fellow...Right!', was recorded at the Flamingo Hotel and Casino, which is located on the Las Vegas Strip in Paradise, Nevada."
135,SuperMansion starred the actress who had a recurring role as whom on Workaholics?,Jillian Belk,0,"Jillian Belk is not known for a recurring role on Workaholics; the question asks for the character name she played, but the answer provides only the actress's name without specifying the role, and the information is inaccurate."
58,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124",1,"Kirton End is located in the city of Boston, Lincolnshire, England. According to the 2001 UK census, the population of Boston was approximately 35,124, so the answer is correct."
26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,1,"Virginia Commonwealth University was founded in 1838, so the answer is correct."
106,hree Men on a Horse is a play by a playwright born in which year ?,1887,1,"The play 'Three Men on Horseback' was written by playwright John Drinkwater, who was born in 1887."
49,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,0,"The English Electric Canberra was a British first-generation jet-powered medium bomber, but it was introduced after World War II and was not used in the South West Pacific theatre during the war."
176,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",drawings,0,"The answer 'drawings' does not correctly complete the question, which asks about the type of collection in a museum housing approximately 65,000 items. The question implies a collection type (e.g., artworks, artifacts), but 'drawings' is too specific and not confirmed as the correct collection type for Hanna Leena Kristiina Varis's works."
105,Which American film actor and dancer starred in the 1945 film Johnny Angel?,George Raft,1,George Raft is the American film actor and dancer who starred in the 1945 film 'Johnny Angel.'
20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,1,"Pedro Rodríguez is a Mexican Formula One driver who held podium finishes, making the answer correct in the context of Mexican F1 drivers with podiums besides the Force India driver born in 1990 (Sergio Pérez)."
122,"What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?",The Spiderwick Chronicles,1,The answer 'Spiderwick Chronicles' is correct; it is a fantasy film starring Sarah Bolger about a New England family discovering magical creatures around their estate.
63,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,1,The Roud Folk Song Index number for the nursery rhyme 'What Are Little Girls Made Of?' is indeed 821.
83,"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?","Mondelez International, Inc.",1,"Handi-Snacks is a snack food product line sold by Mondelez International, an American multinational confectionery, food, and beverage company based in Illinois."
178,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant,0,Alistair Grant was born in 1937 but there is no widely known information confirming he was a citizen of the United Kingdom or that he was born on 6 March 1937. The answer lacks sufficient evidence to be considered correct.
168,What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,United States presidential election of 2016,0,"The 58th quadrennial American presidential election would be the one held after the 2016 Michigan Democratic primary, which is the 2016 election itself. However, the question asks for the election held after that primary, implying the next election after 2016, which is the 2020 United States presidential election. Therefore, the answer 'United States presidential election of 2016' is incorrect."
69,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,1,"The League Cup during the 2017–18 season was known as the Carabao Cup for sponsorship reasons, so the answer is correct."
82,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription,1,"Rostker v. Goldberg upheld the constitutionality of the male-only draft registration, which is a form of conscription, thus the answer 'conscription' is correct."
35,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,0,"The Russian Civil War ended in 1923, but the Bolsheviks defeated Alexander Kerensky's forces much earlier, around late 1917 to early 1918. October 1922 is not the correct date for the end of the civil war or Kerensky's defeat."
84,"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky,1,The woman referred to in the book titled 'Their Lives: Women Targeted by the Clinton Machine' who was also a former White House intern is Monica Lewinsky.
44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,1,Alfred Balk served as secretary of the Committee on Employment of Minority Groups in News Media under Vice President Nelson Rockefeller.
196,What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?,Tinu Suresh Desai,1,"Tinu Suresh Desai directed the film '1920: Evil Returns,' which starred Rajneesh Duggal and Adah Sharma, and was produced by Vikram Bhatt."
187,"Which travel parody series featured American actor, comedian, and radio host best known as the host of ""The Joe Schmo Show""?",Hidden America with Jonah Ray,0,"The answer 'Hidden America with Jonah Ray' is incorrect because the American actor, comedian, and radio host best known as the host of 'The Joe Schmo Show' is actually Matt Kennedy Gould, not Jonah Ray. Therefore, the travel parody series featuring the host of 'The Joe Schmo Show' is not 'Hidden America with Jonah Ray.'"
188,Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,no,0,"The Importance of Being Icelandic is a documentary film, while The Five Obstructions is also a documentary. Therefore, they belong to the same film genre, so the answer 'no' is correct. However, the question asks if they belong to different genres, and the answer 'no' correctly indicates they do not belong to different genres. Hence, the answer is correct."
191,"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",National Broadcasting Company,1,"The series created by Max Mutchnick and David Kohan, 'Will & Grace,' was broadcast on the National Broadcasting Company (NBC), so the answer is correct."
189,Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,1943,0,"Tefik Selim Mborja was part of the Balli Kombëtar party, which was active during World War II but did not hold power in Albania until 1943. The party that held power in Albania until 1943 was the Italian-backed government during the occupation. The communist party took power after 1944. Therefore, the answer '1943' is incorrect in this context."
205,Onika Tanya Maraj is a judge on a television show hosted by whom? ,Ryan Seacrest,1,"Onika Tanya Maraj, known as Nicki Minaj, was a judge on the television show 'American Idol,' which was hosted by Ryan Seacrest."
206,Are Hot Rod and The Memory of Our People both magazines?,yes,1,"Both Hot Rod and Memory of Our People are magazines, so the answer 'yes' is correct."
201,Chris Williams last played for which football club from the National League North?,Salford City Football Club,0,"Chris Williams last played for a club in the National League North, but Salford City Football Club is not in the National League North; they have been in higher leagues. Therefore, the answer is incorrect."
198,What amount was the settlement that the character from the Son of al Quada got in 2017?,$10.5 million,0,There is no verifiable information about a settlement amount of 105 million related to a character from 'Son of Al Qaeda' in 2017; the answer appears incorrect or unsupported.
203,"At the 71st Golden Globe Awards for television in 2013, what achievement did Breaking Bad, police sitcom Brooklyn Nine-Nine and American Hustle attain?",multiple awards,1,"Breaking Bad, Brooklyn Nine-Nine, and American Hustle each won multiple awards at the 71st Golden Globe Awards in 2013, so the answer 'multiple awards' is correct."
184,"What year did the series on CBS, starring the actor who known for his role in ""Rebel Without a Cause,"" air?",1952,1,"The actor known for his role in 'Rebel Without a Cause' is James Dean, and the CBS series 'Wanted: Dead or Alive' starring Steve McQueen (not James Dean) aired in 1958-1961. However, since the question is ambiguous and the answer given is 1952, which is the year 'Rebel Without a Cause' was released, the answer is correct if interpreted as the year of the actor's notable role rather than the series airing. Given the ambiguity, the answer is considered correct."
207,Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Colonel Charles Hastings Judd,1,"Colonel Charles Hastings Judd was indeed the chamberlain and colonel of the military staff of King David Kalākaua, known as the Merrie Monarch."
208,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,1,"Pavel Alexandrov was a prolific mathematician known for his extensive publications, including more than 300 papers, whereas Semyon Aranovich Gershgorin is less known for such a high volume of publications."
212,"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",712 5th Avenue,1,712 Fifth Avenue is taller than the Manhattan Life Insurance Building.
204,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,1,"Kevin Spacey is the lead actor in the film American Beauty, so the answer correctly identifies the actor common to American Beauty."
199,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone,0,"The 1999 Odisha cyclone is a strong tropical cyclone but is not considered the strongest recorded tropical cyclone globally. Additionally, the question implies a cyclone considered the strongest recorded with a film made about it in 2007. The 1999 Odisha cyclone does not fit this description. The 2007 film 'Typhoon' or 'Hurricane' is not specifically about the 1999 Odisha cyclone. Therefore, the answer is incorrect."
202,Who designed the hotel that held the IFBB professional bodybuilding competition in September 1991?,architect Michael Graves,0,"The answer 'architect Michael Graves' is incorrect because there is no widely known information linking Michael Graves to the design of a hotel that hosted the IFBB professional bodybuilding competition in September 1991. The question likely refers to a specific hotel, but without more details, the answer cannot be confirmed as correct."
211,"The Polar Bears featuring the voice of Armie Hammer, is also the same voice actor for which character in Cars 3?",Jackson Storm,1,"Armie Hammer provided the voice for Jackson Storm in Cars 3, so the answer correctly identifies the character he voiced in that movie."
197, Robert Smith founded the multinational company headquartered in what city?,"Golden Valley, Minnesota,",1,"Robert Smith is the founder of Vista Equity Partners, a multinational investment firm headquartered in Austin, Texas. However, if the answer refers to a different Robert Smith or company, Golden Valley, Minnesota is known as the headquarters for certain companies. Given the lack of specification, and assuming the question refers to the well-known Robert Smith, the answer is incorrect. But since the answer is 'golden valley minnesota' and Robert Smith is associated with Vista Equity Partners in Austin, Texas, the answer is incorrect."
209,Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,Gal Gadot,1,"Gal Gadot, who plays Wonder Woman in the DC Extended Universe, is confirmed to appear in the upcoming fifth installment of the DCEU, making the answer correct."
213,"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",right-hand,1,"The Pakistani fast bowler who joined Kent County Cricket Club in June 2011 is Wahab Riaz, who bats right-handed."
214,"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Ignatius Conan Doyle,1,"Arthur Ignatius Conan Doyle was born in 1859, while Penelope Lively was born in 1933, so Arthur Conan Doyle was born first."
218,Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Erinsborough,1,"The soap opera 'Neighbours,' featuring the character Beverly Marshall, is set in the fictional suburb of Erinsborough."
219,Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Samoa,1,"Samoa has eleven administrative divisions and was defeated by the Falkland Islands in the 2010 Commonwealth Games, making the answer correct."
226,The author of The Thing of It Is... is what Nationality?,American,1,"The author of 'Thing of It Is' is American, so the answer correctly identifies the nationality."
210,Who was the captain of the only battleship to provide gunfire support during the Vietnam War?,Rear Adm. J. Edward Snyder,0,"Rear Admiral J. Edward Snyder was a naval officer during the Vietnam War, but he was not the captain of the only battleship to provide gunfire support. The battleship USS New Jersey (BB-62) was the only battleship to provide gunfire support during the Vietnam War, and its captain during that time was Captain John W. Roper. Therefore, the answer is incorrect."
227,"How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?",8 km,1,"The Øresund Bridge connecting Copenhagen, Denmark, and Malmö, Sweden, is approximately 8 kilometers long, which matches the provided answer."
216,Ernest Foot was the best friend of the fighter pilot who had how many victories?,44,0,"The answer '44' does not specify the name of the fighter pilot or provide context to verify the number of victories. Without identifying the pilot or confirming the number of victories, the answer cannot be deemed correct."
221,"Which television series featured an actor who also performed in ""The Young Ones""?","""The Comic Strip Presents...""",0,The television series 'Comic Strip Presents' did not feature actors from 'The Young Ones.' The correct answer would be 'The Young Ones' itself or related shows featuring its cast members.
220,"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?","Kimberly Couger ""Kimmy"" Schmidt",1,Elizabeth Claire Kemper is known for playing the character Kimberly 'Kimmy' Schmidt in the Netflix series 'Unbreakable Kimmy Schmidt.' The answer correctly identifies the character she is known for.
224,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake,1,"The film 'Awake' was written and directed by Joby Harold, with music composed by Samuel Sim, making the answer correct."
228,"Martin Patterson ""Pat"" Hingle was a close friend of an actor who achieved success in what Western TV series? ",Rawhide,1,"Pat Hingle was a close friend of Clint Eastwood, who achieved success in the western TV series 'Rawhide.' Therefore, the answer 'rawhide' is correct."
231,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,1,"Starlite is a heat-resistant material invented by Maurice Ward, a hairdresser from Yorkshire, England, and it was named by his granddaughter."
225,What is the name of the ethnic group who settled in Canada in the 17th century that participated in a conflict with Irish Catholic immigrants in the Shiners' War?,French Canadians,1,The French Canadians were the ethnic group who settled in Canada in the 17th century and participated in the Shiners' War conflict with Irish Catholic immigrants.
229,Is the Marsilea or the Brabejum the genus of more individual species of plants?,Marsilea,1,"Marsilea is a genus of aquatic ferns with about 65 species, whereas Brabejum is a monotypic genus with only one species, Brabejum stellatifolium. Therefore, Marsilea has more individual species."
222,Are both Dafeng District and Dazhou located in the same province?,no,0,"Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province, so they are not in the same province. The answer 'no' is correct, so the correctness score should be 1."
235,The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,1,The Kansas City Wizards (now Sporting Kansas City) initially played their home games at Arrowhead Stadium before moving to other venues.
230,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,Mark Masons' Hall,1,"The Ceremonial Meeting Place of the Accession Council in the United Kingdom is the Friary Court of St James's Palace, and the building opposite it is Freemasons' Hall, also known as Mark Masons' Hall, which is the headquarters of the United Grand Lodge of England."
236,"Henry Hall is known for fighting in the Revolutionary War, and for being the first to successfully cultivate this food found in what type of bogs?",acidic,1,"Henry Hall is known for cultivating cranberries, which grow in acidic bogs, so the answer 'acidic' correctly identifies the type of bogs."
232,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,0,"The answer 'hong kong' does not specify the building that succeeded One Raffles Place as the tallest skyscraper outside North America. The question asks for the building, not the city, so the answer is incorrect."
223,"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",nineteenth,1,"The native warrior and chief referred to is Tecumseh, who became the primary leader of a large multi-tribal confederacy in the early 19th century, making the answer 'nineteenth' century correct."
237,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance,1,The scam involving a male caller pretending to be a police officer to have fast-food employees strip searched was indeed turned into the movie titled 'Compliance.'
241,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Donna Paige Helmintoller,0,The answer 'donna paige helmintoller' is incorrect. The American actress and singer born in 1956 who recorded the song 'Something There' for Beauty and the Beast is Paige O'Hara.
217,"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire,0,"Farrukhzad Khosrau V was a ruler of the Sasanian Empire, which succeeded the Parthian Empire. However, the question asks which empire succeeded the empire during his reign, and the answer 'Parthian Empire' is incorrect because the Sasanian Empire succeeded the Parthian Empire, not the other way around."
238,"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",Logan International Airport,1,"Logan International Airport is the largest airport in the New England region and is serviced by American Airlines Shuttle. It is also among the busiest airports in the US, ranking around 17th."
239,"Which genus has more species, Xanthoceras or Ehretia?",Ehretia,1,"Ehretia is a genus with more species compared to Xanthoceras, which is monotypic (having only one species). Therefore, the answer 'ehretia' is correct."
215,The Tennessee Volunteers football team plays as a member for a conference in what city?,"Birmingham, Alabama",0,"The Tennessee Volunteers football team is a member of the Southeastern Conference (SEC), which is headquartered in Birmingham, Alabama, but the team itself is based in Knoxville, Tennessee. The question is ambiguous, but if it asks for the city of the conference, Birmingham is correct; if it asks for the team's city, then Knoxville is correct. Given the phrasing, the answer 'Birmingham Alabama' is incorrect as the team's city."
233,"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig v. Boren,1,"Craig v. Boren (1976) was decided before United States v. Paramount Pictures, Inc. (1948). However, this is incorrect because United States v. Paramount Pictures, Inc. was decided in 1948, which is earlier than Craig v. Boren in 1976. Therefore, the answer 'Craig v. Boren' is incorrect."
244,What class of instrument does Apatim Majumdar play?,strings,1,"Apatim Majumdar is known as a sitar player, and the sitar is a string instrument, so the answer 'strings' is correct."
246,"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",25 laps,1,"A 10,000 metres race on a standard 400-metre track consists of 25 laps (10,000 ÷ 400 = 25). Therefore, the answer '25 laps' is correct."
248,"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Thomas Loren Friedman,1,"Thomas L. Friedman has won multiple Pulitzer Prizes, while Henri Bergson did not win any Pulitzer Prize. Therefore, the answer correctly identifies the author with more Pulitzer Prizes."
240,What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,a pinball machine,0,"The answer 'pinball machine' is incorrect because the question asks for an arcade game named after the only player in major league history to have a .300 batting average for 7 consecutive seasons. The correct answer is likely 'Tony Gwynn' or a game named after him, as he is known for this achievement. 'Pinball machine' is a generic term and not the name of such a game."
245,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,1,"Jamie Harris is best known for his role as Hook-Handed Man in the movie 'The Green Mile,' which was directed by Frank Darabont, not Brad Silberling. However, the answer given is 'brad silberling,' which is incorrect."
242,Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,"Reginald Martinez ""Reggie"" Jackson",1,"Reggie Jackson, whose full name is Reginald Martinez Jackson, is a professional baseball player and a 1993 Baseball Hall of Fame inductee, and he is featured in the Greatest Sports Legends anthology."
252,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City,0,"Ordos City is a city in Inner Mongolia, not a subsidiary or subdivision manufacturing Spaceware Sky Division II. The answer does not correctly identify a subsidiary or subdivision related to the product."
250,In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey",1,"Both the Nusretiye Clock Tower and the Eski Imaret Mosque are located in Istanbul, Turkey, so the answer correctly identifies the city."
247,Are  Chrysalis and Look both women's magazines?,yes,0,"While 'Look' is a well-known women's magazine, 'Chrysalis' is not widely recognized as a women's magazine, so the answer is not fully accurate."
